ZipCode,NonHispanic,WhiteAlone,AfricanAmericanAlone,AmericanIndianAlaskaNative,AsianAlone,NativeHawaiianPacificIslander,OtherNonHispanic,Hispanic
30436,11018,8360,2414,0,18,0,226,1074
30441,1688,1208,451,12,3,0,14,13
30448,76,22,50,0,0,0,4,0
30456,1906,824,1040,0,8,0,34,30
30461,13947,10261,3115,38,217,0,316,419
30471,4791,3121,1516,0,4,0,150,294
30512,20406,19791,130,144,161,0,180,674
30522,897,897,0,0,0,0,0,0
30552,1654,1513,5,0,0,0,136,151
30530,6164,5510,275,67,117,0,195,166
30535,7019,6433,47,0,268,0,271,412
30548,17541,15327,1133,41,568,0,472,1089
30017,22781,12546,7531,34,1953,0,717,1635
30025,8852,6892,1848,92,0,0,20,456
30038,38557,1614,36532,17,58,0,336,547
30052,60817,39010,18115,117,1692,10,1873,5142
30055,3141,3016,91,8,0,0,26,165
30071,13185,5289,4619,2,2669,0,606,12033
30019,43819,28735,11204,51,2250,0,1579,5443
30005,37748,22444,3962,156,9989,0,1197,2308
30008,21959,7495,12849,9,681,0,925,10023
30022,62558,39161,9376,139,11913,3,1966,6249
30024,71199,42628,6978,177,19179,0,2237,6135
30041,61631,48905,1583,149,9465,0,1529,4900
30066,51183,38664,7184,9,4123,0,1203,4365
30082,24470,12551,9224,11,2077,0,607,4541
30083,56072,6543,45066,25,2987,0,1451,2251
30094,32957,12389,18664,50,812,0,1042,1971
30113,6587,6172,166,33,147,10,59,62
30125,18648,15231,2898,0,95,0,424,5166
30145,7027,6308,615,0,17,0,87,115
30148,794,748,0,0,0,0,46,67
30152,39603,27851,7998,25,2639,10,1080,3707
30204,12681,7605,4627,19,147,0,283,259
30215,34628,22852,9036,51,1739,1,949,1813
30217,8896,7562,1051,2,58,0,223,248
30218,1615,1258,313,0,0,0,44,13
30223,34778,19464,14241,254,181,19,619,2208
30233,22508,17049,4814,9,101,0,535,737
30248,23444,16469,6337,0,388,0,250,1717
30253,51766,18864,27823,32,2640,0,2407,3410
30256,2565,2472,55,0,0,0,38,24
30268,9332,4950,4194,2,134,0,52,1102
30273,13067,1775,9838,0,443,0,1011,1596
30274,31918,2509,27376,53,1220,0,760,3429
30288,7933,630,6850,0,117,0,336,1297
30296,26501,1427,23875,62,715,0,422,2170
30303,6226,1774,3906,20,310,0,216,493
30501,16174,11205,4350,9,303,0,307,13455
30513,11624,11191,57,5,64,0,307,129
30519,41843,28167,8147,21,4270,0,1238,4572
30545,698,656,6,0,16,1,19,0
30549,23463,20593,1975,1,364,5,525,1429
30571,3443,3276,42,46,23,0,56,102
30602,2686,1576,452,0,528,0,130,138
30828,4182,1519,2604,0,45,0,14,23
30016,51451,20061,29159,150,716,84,1281,2791
30101,53354,39936,10698,21,1351,0,1348,4687
30582,4911,4695,113,46,0,0,57,127
30665,67,21,46,0,0,0,0,0
30734,3779,3624,1,143,0,0,11,0
30328,33825,23762,4497,69,4534,0,963,3286
30345,19719,11697,5653,66,1451,0,852,5843
30411,4676,2364,2312,0,0,0,0,90
30516,1965,1733,197,0,0,0,35,47
30525,6673,6486,93,12,0,0,82,632
30541,1334,1334,0,0,0,0,0,246
30683,5810,4534,1133,9,30,0,104,791
30547,3166,3008,131,0,6,0,21,43
30555,2246,2220,0,21,2,0,3,27
30746,940,940,0,0,0,0,0,0
30725,4408,4200,109,0,11,0,88,238
30728,20365,18255,1182,11,401,0,516,244
30747,15167,12558,2297,0,13,0,299,271
30752,8267,7958,36,0,33,9,231,196
30906,55621,15664,38128,154,324,0,1351,2493
30002,5720,3152,2119,0,211,0,238,200
30011,13514,10964,1866,10,439,0,235,1914
30033,30527,20243,4219,136,4709,15,1205,2441
30040,62753,52968,3174,77,5201,34,1299,7757
30043,74390,38599,21632,174,11611,22,2352,16285
30079,2766,720,1560,0,273,0,213,58
30104,4866,4577,161,0,0,0,128,94
30106,19249,6295,12299,0,404,1,250,2493
30121,21545,16848,3694,0,456,0,547,1828
30122,22696,7689,13821,108,689,0,389,3090
30182,2444,2203,20,5,95,0,121,54
30184,6406,6120,86,0,4,0,196,206
30187,7605,6209,1117,0,92,0,187,313
30189,35370,30832,2861,25,930,0,722,3180
30236,42352,8971,30085,29,2317,0,950,7342
30252,44221,29920,12109,85,564,0,1543,2065
30257,4166,3478,659,0,2,0,27,179
30258,3043,2641,252,68,23,0,59,4
30285,639,573,57,0,0,0,9,0
30312,21296,9027,10952,4,715,0,598,979
30317,13504,6161,6333,13,308,0,689,233
30559,4622,4438,16,0,93,28,47,79
30568,1396,1255,109,0,4,0,28,249
30572,780,742,18,7,12,0,1,16
30575,950,912,33,0,5,0,0,583
30576,2172,2091,73,0,0,0,8,138
30577,20472,17010,2581,40,119,2,720,732
30625,2049,1681,351,0,0,0,17,91
30629,4686,3954,468,0,157,0,107,49
30646,5898,5152,507,11,0,0,228,608
30667,906,755,150,0,1,0,0,48
30677,17584,15425,1224,15,726,0,194,753
30506,39312,38068,308,21,366,0,549,5156
30507,16695,11833,3714,0,906,0,242,13381
30511,2778,2754,0,0,0,0,24,1231
30171,3423,3287,12,0,0,0,124,44
30607,7811,4756,2623,0,147,0,285,2937
30601,20200,9665,9871,41,165,0,458,3485
30605,39220,26020,9451,20,2593,8,1128,2231
30631,1637,580,1045,0,8,0,4,10
30075,49366,41282,4820,170,1877,22,1195,3962
30116,22736,19101,2862,34,56,22,661,1425
30413,1790,1019,769,0,0,0,2,15
30415,6056,5559,408,0,20,0,69,105
30423,110,101,4,0,0,0,5,11
30426,781,331,450,0,0,0,0,1
30438,31,24,7,0,0,0,0,0
30446,1176,663,485,0,0,0,28,75
30470,335,304,11,20,0,0,0,3
30473,2323,1819,423,0,10,0,71,122
30341,23837,14207,5243,121,3102,0,1164,8504
30068,30491,24895,2085,0,2908,35,568,2122
30188,56911,49143,4321,73,1547,0,1827,6260
30295,4267,3485,691,0,10,0,81,85
30062,61463,45908,7528,230,5538,15,2244,4590
28338,4184,3022,1036,0,114,0,12,479
28078,55719,45529,7041,105,1502,0,1542,4388
28083,21901,14624,6343,5,294,0,635,3639
28088,2574,2385,88,21,80,0,0,172
28101,823,813,3,7,0,0,0,3
28112,21658,16809,4266,33,206,0,344,5341
28133,2311,2170,110,0,15,0,16,72
28147,20718,16211,3735,47,324,12,389,4160
28160,3514,2210,1184,0,0,9,111,72
28164,14740,13435,890,52,51,7,305,359
28617,2096,2058,5,0,23,10,0,227
